name,headquarters,source
ASML Holding N.V.,Veldhoven,https://www.value.today/headquarters/netherlands
Prosus N.V.,Amsterdam;Amsterdamo,
Shell PLC,Hague;The Hague;Den Haag;L'Aia;L'Aja;Haag,
Unilever N.V.,Rotterdam;R'dam,
Airbus SE,Leiden;Leida,
Stellantis N.V. ,Hoofddorp,
NXP Semiconductors N.V.,Eindhoven,
Adyen N.V.,Amsterdam;Amsterdamo,
KPMG,Amstelveen;Zug,
ING Groep N.V.,Amsterdam;Amsterdamo,
INGKA Holding B.V.,Delft,
Universal Music Group N.V.,Hilversum,
Koninklijke DSM N.V.,Heerlen,
Koninklijke Ahold Delhaize N.V.,Zaandam,
LyondellBasell Industries N.V.,Rotterdam;R'dam,
Wolters Kluwer N.V.,Alphen aan den Rijn;Alphen;Alphen am Rhein,
Exor N.V.,Amsterdam;Amsterdamo,
Argenx SE,Amsterdam;Amsterdamo,
Heineken N.V.,Amsterdam;Amsterdamo,
ASM International N.V.,Almere,
Koninklijke Philips N.V.,Amsterdam;Amsterdamo,
ABN Amro Bank N.V.,Amsterdam;Amsterdamo,
AkzoNobel N.V.,Amsterdam;Amsterdamo,
Koninklijke KPN N.V.,Hague;The Hague;Den Haag;L'Aia;L'Aja;Haag,
NN Group N.V.,Hague;The Hague;Den Haag;L'Aia;L'Aja;Haag,
Qiagen N.V.,Venlo,
Randstad N.V.,Diemen,
AEGON N.V.,Hague;The Hague;Den Haag;L'Aia;L'Aja;Haag,
a.s.r. Nederland N.V.,Utrecht,
BE Semiconductor Industries N.V.,Duiven,
IMCD N.V.,Rotterdam;R'dam,
Euronext N.V.,Amsterdam;Amsterdamo,
Interxion,Schiphol-Rijk,
OCI N.V.,Amsterdam;Amsterdamo,
CTP N.V.,Amsterdam;Amsterdamo,
Gemalto B.V.,Amsterdam;Amsterdamo,
Aalberts N.V.,Utrecht,
Koninklijke Vopak N.V.,Rotterdam;R'dam,
Signify N.V.,Eindhoven,
Just Eat Takeaway,Amsterdam;Amsterdamo,
Arcadis N.V.,Amsterdam;Amsterdamo,
Royal Boskalis Westminster N.V.,Papendrecht,
SBM Offshore N.V.,Amsterdam;Amsterdamo,
Louis Dreyfus Company B.V.,Rotterdam;R'dam,
Royal Volkerwessels N.V.,Rijssen;Rijssen-Holten,
Basic-Fit,Hoofddorp,
TKH Group N.V.,Haaksbergen,
Redcare Pharmacy N.V.,Sevenum,
Intertrust N.V.,Amsterdam;Amsterdamo,
Fugro N.V.,Leidschendam;Leidschendam-Voorburg,
Corbion,Amsterdam;Amsterdamo,
Alfen N.V.,Almere,
AMG Critical Materials N.V.,Amsterdam;Amsterdamo,
NIBC Bank N.V.,Hague;The Hague;Den Haag;L'Aia;L'Aja;Haag,
Van Lanschot Kempen N.V.,s-Hertogenbosch;Herzogenbusch;Den Bosch;Boscoducale,
Eurocommercial Properties N.V.,Amsterdam;Amsterdamo,
VEON Ltd,Amsterdam;Amsterdamo,
Merus N.V.,Utrecht,
Accell Group B.V.,Heerenveen,
Playa Hotels & Resorts,Amsterdam;Amsterdamo,
Cnova N.V.,Amsterdam;Amsterdamo,
Core Laboratories N.V.,Amsterdam;Amsterdamo,
TomTom N.V.,Amsterdam;Amsterdamo,
Rolinco N.V.,Rotterdam;R'dam,
Pegasus Acquisition Company Europe B.V.,Amsterdam;Amsterdamo,
FlowTraders,Amsterdam;Amsterdamo,
PostNL,Hague;The Hague;Den Haag;L'Aia;L'Aja;Haag,
Newamsterdam Pharma Comany N.V.,Naarden,
Sligro Food Group N.V.,Veghel,
La Perla Fashion Holding,Schiphol,
Pharming Group N.V.,Leiden;Leida,
Brunel International N.V.,Delft,
Wereldhave N.V.,Schiphol,
Amsterdam Commodities N.V.,Rotterdam;R'dam,
Allego N.V.,Arnhem,
Fastned B.V.,Amsterdam;Amsterdamo,
EPP Community Properties JV B.V.,Amsterdam;Amsterdamo,
Koninklijke Bam Groep N.V.,Bunnik,
NX Filtration N.V.,Enschede,
Pharvaris N.V.,Leiden;Leida,
Ordina N.V.,Nieuwegein,
PPHE Hotel Group,Amsterdam;Amsterdamo,
Meltwater B.V.,Amsterdam;Amsterdamo,
Ebusco Holding N.V.,Deurne,
uniQure biopharma B.V.,Amsterdam;Amsterdamo,
Nederlandsche Apparatenfabriek Nedap,Groenlo,
NSI N.V.,Amsterdam;Amsterdamo,
Kiadis Pharma Netherlands B.V.,Amsterdam;Amsterdamo,
Vastned Retail N.V.,Hoofdorp,
Oranjewoud N.V.,Heerenveen,
Vivoryon Therapeutics N.V.,Amsterdam;Amsterdamo,
Lastminute B.V.,Amersfoort,
CM.COM N.V.,Breda,
European Fintech IPO Company 1 B.V.,Schiphol-Rijk,
Forfarmers N.V.,Lochem,
Kendrion N.V.,Amsterdam;Amsterdamo,
Corre Energy B.V.,Groningen;Groninga,
ESG Core Investments B.V.,Amsterdam;Amsterdamo,
AFC Ajax N.V.,Amsterdam;Amsterdamo,
Dutch Star Companies Two B.V.,Amsterdam;Amsterdamo,
