name,headquarters,source
Enel SpA,Rom;Roma;Rome,https://www.value.today/headquarters/italy
Ferrari N.V.,Maranello,
Eni S.p.A.,Rom;Roma;Rome,
Intesa Sanpaolo S.p.A.,Torino;Turin;Turijn,
UniCredit S.p.A.,Milano;Mailand;Milaan;Milan,
Assicurazioni Generali,Triest;Trieste;Triëst,
Atlantia SpA,Rom;Roma;Rome,
Moncler S.p.A.,Milano;Mailand;Milaan;Milan,
Snam S.p.A.,San Donato Milanese;San Donato,
Terna - Rete Elettrica Nazionale Società per Azioni,Rom;Roma;Rome,
Davide Campari-Milano N.V.,Sesto San Giovanni,
Poste Italiane SpA,Rom;Roma;Rome,
Infrastrutture Wireless Italiane S.p.A.,Milano;Mailand;Milaan;Milan,
Prysmian S.p.A.,Milano;Mailand;Milaan;Milan,
Nexi S.p.A.,Milano;Mailand;Milaan;Milan,
Mediobanca Banca di Credito Finanziario S.p.A.,Milano;Mailand;Milaan;Milan,
Recordati Industria Chimica e Farmaceutica S.p.A.,Milano;Mailand;Milaan;Milan,
FinecoBank Banca Fineco S.p.A.,Milano;Mailand;Milaan;Milan,
Amplifon S.p.A.,Milano;Mailand;Milaan;Milan,
Edison S.p.A.,Milano;Mailand;Milaan;Milan,
UnipolSai Assicurazioni S.p.A.,Bologna;Bologne,
Banco BPM S.p.A.,Milano;Mailand;Milaan;Verona,
Banca Mediolanum S.p.A.,Basiglio,
Brunello Cucinelli S.p.A.,Ellera di Corciano,
Telecom Italia S.p.A.,Milano;Mailand;Milaan;Rom;Roma;Rome,
Interpump Group S.p.A.,Sant'Ilario d'Enza,
DiaSorin S.p.A.,Saluggia,
A2A S.p.A.,Milano;Mailand;Milaan;Brescia;Milan,
Pirelli & C. S.p.A.,Milano;Mailand;Milaan;Milan,
Brembo S.p.A.,Stezzano,
Italgas S.p.A.,Milano;Mailand;Milaan;Milan,
Buzzi Unicem S.p.A.,Casale Monferrato;Casal,
ERG S.p.A.,Genova;Genua;Genoa,
Hera S.p.A.,Bologna;Bologne,
BPER Banca S.p.A.,Modena,
Reply S.p.A.,Torino;Turin;Turijn,
Unipol Gruppo S.p.A.,Bologna;Bologne,
Banca Generali S.p.A.,Triest;Trieste;Triëst,
Banca Monte dei Paschi di Siena S.p.A.,Siena;Sienna;Siëna,
Mediaset S.p.A.,Cologno Monzese;Amsterdam,
De'Longhi S.p.A.,Treviso,
Saipem SpA,Milano;Mailand;Milaan;Milan,
Falck Renewables S.p.A.,Sesto San Giovanni,
Azimut Holding S.p.A.,Milano;Mailand;Milaan;Milan,
ACEA S.p.A.,Rom;Roma;Rome,
Autogrill S.p.A.,Rozzano,
Carel Industries S.p.A.,Brugine,
Salvatore Ferragamo S.p.A.,Firenze;Florenz;Florens;Florence,
SOL S.p.A.,Monza,
Credito Emiliano S.p.A.,Reggio Emilia;Reggio nell’Emilia;Reggio,
Iveco Group N.V.,Amsterdam;Amsterdamo;Turin;Torino;Turijn,
Iren SpA,Reggio Emilia;Reggio nell’Emilia;Reggio,
Enervit SpA,Rom;Roma;Rome,
Cerved Group S.p.A.,San Donato Milanese,
Banca Farmafactoring S.p.A.,Basiglio,
Webuild S.p.A.,Rom;Roma;Rome;Rozzano,
Banca Popolare di Sondrio S.C.p.A.,Sondrio;Sünders;Sonders,
SeSa S.p.A.,Empoli,
Technogym S.p.A.,Cesena,
Alerion Clean Power S.p.A.,Milano;Mailand;Milaan;Milan,
Tamburi Investment Partners S.p.A.,Milano;Mailand;Milaan;Milan,
Rai Way S.p.A.,Rom;Roma;Rome,
Salcef Group S.p.A.,Rom;Roma;Rome,
Danieli & C. Officine Meccaniche S.p.A.,Buttrio,
Società Cattolica di Assicurazione - Società Cooperativa,Verona,
TOD'S S.p.A.,Sant'Elpidio a Mare;Sant'Elpidio,
Zignago Vetro S.p.A.,Fossalta di Portogruaro;Fossalta,
Piaggio & C. SpA,Pontedera,
Sanlorenzo S.p.A.,Ameglia,
Maire Tecnimont S.p.A.,Rom;Roma;Rome;Milaan;Milano;Milan;Mailand;Milan,
Saras S.p.A.,Sarroch,
Gruppo MutuiOnline S.p.A.,Milano;Mailand;Milaan;Milan,
Cementir Holding N.V.,Rom;Roma;Rome,
Anima Holding S.p.A.,Milano;Mailand;Milaan;Milan,
Italmobiliare S.p.A.,Milano;Mailand;Milaan;Milan,
MARR S.p.A.,Rimini,
Credito Valtellinese S.p.A.,Sondrio;Sünders;Sonders,
GVS S.p.A.,Zola Predosa,
Comer Industries S.p.A.,Reggiolo,
Juventus Football Club SpA,Torino;Turin;Turijn,
Fincantieri S.p.A.,Triest;Trieste;Triëst,
Tinexta S.p.A.,Rom;Roma;Rome,
Banca IFIS S.p.A.,Venezia;Venice;Venedig;Venetië,
B.F. S.p.A.,Jolanda di Savoia;Jolanda,
Astaldi S.p.A.,Rom;Roma;Rome,
OVS S.p.A.,Venezia;Venice;Venedig;Venetië,
LU-VE S.p.A.,Varese,
SECO S.p.A.,Arezzo,
Guala Closures S.p.A.,Milano;Mailand;Milaan;Milan,
Digital Value S.p.A.,Rom;Roma;Rome,
Pharmanutra S.p.A.,Pisa,
Arnoldo Mondadori Editore S.p.A.,Milano;Mailand;Milaan;Milan,
Reno De Medici S.p.A.,Milano;Mailand;Milaan;Milan,
Banca Carige S.p.A. - Cassa di Risparmio di Genova e Imperia,Genova;Genua;Genoa,
Safilo Group S.p.A.,Padua;Padova;Padoa,
illimity Bank S.p.A.,Milano;Mailand;Milaan;Milan,
Cembre S.p.A.,Brescia,
Retelit S.p.A.,Milano;Mailand;Milaan;Milan,
Wiit S.p.A.,Milano;Mailand;Milaan;Milan,
Ascopiave S.p.A.,Pieve di Soligo;Pieve,
