name,headquarters,source
AstraZeneca AB,Södertälje,https://www.stockblogs.se/sveriges-storsta-foretag/
Atlas Copco AB,Nacka;Naka,https://www.largestcompanies.se/topplistor/sverige/de-storsta-foretagen-efter-omsattning
Investor AB,Stockholm;Stokholma;Stoccolma,
Volvo AB,Gothenburg;Göteborg;Gotemburgo;Gotenburg,
Ericsson AB,Stockholm;Stokholma;Stoccolma,
Vattenfall AB,Stockholm;Stokholma;Stoccolma,
Svenska Handelsbanken AB,Stockholm;Stokholma;Stoccolma,
SEB Group,Stockholm;Stokholma;Stoccolma,
Essity AB,Stockholm;Stokholma;Stoccolma,
Scania AB,Södertälje,
Stora Enso,Helsinki;Helsingfors,
Axel Johnson Group,Stockholm;Stokholma;Stoccolma,
Hennes & Mauritz AB,Stockholm;Stokholma;Stoccolma,
Epiroc AB,Stockholm;Stokholma;Stoccolma,
Assa Abloy Group,Stockholm;Stokholma;Stoccolma,
Swedbank AB,Stockholm;Stokholma;Stoccolma,
Sandvik Group,Stockholm;Stokholma;Stoccolma,
Telia Company AB,Stockholm;Stokholma;Stoccolma,
Industrivärden AB,Stockholm;Stokholma;Stoccolma,
Hufvudstaden AB,Stockholm;Stokholma;Stoccolma,
Hexagon AB,Stockholm;Stokholma;Stoccolma,
AB SKF,Gothenburg;Göteborg;Gotemburgo;Gotenburg,
Investment AB Kinnevik,Stockholm;Stokholma;Stoccolma,
Tele2,Stockholm;Stokholma;Stoccolma,
SBF Bostad AB,Stockholm;Stokholma;Stoccolma,
Electrolux AB,Stockholm;Stokholma;Stoccolma,
SCA (Svenska Cellulosa Aktiebolaget),Sundsvall,
Lundin Energy AB,Stockholm;Stokholma;Stoccolma,
Alfa Laval AB,Lund;Lunda,
Husqvarna AB,Stockholm;Stokholma;Stoccolma,
Autoliv AB ,Stockholm;Stokholma;Stoccolma,
L E Lundbergföretagen AB,Stockholm;Stokholma;Stoccolma,
Holmen AB,Stockholm;Stokholma;Stoccolma,
SSAB AB,Stockholm;Stokholma;Stoccolma,
Swedish Match AB,Stockholm;Stokholma;Stoccolma,
Investment AB Latour,Gothenburg;Göteborg;Gotemburgo;Gotenburg,
Skanska AB,Stockholm;Stokholma;Stoccolma,
Boliden AB,Stockholm;Stokholma;Stoccolma,
ICA Gruppen AB,Stockholm;Stokholma;Stoccolma,
Swedish Orphan Biovitrum AB,Stockholm;Stokholma;Stoccolma,
Securitas AB,Stockholm;Stokholma;Stoccolma,
Sweco AB,Stockholm;Stokholma;Stoccolma,
NIBE Group,Markaryd,
Fastighets AB Balder,Gothenburg;Göteborg;Gotemburgo;Gotenburg,
Sagax AB,Stockholm;Stokholma;Stoccolma,
Trelleborg AB,Trelleborg;Trelleborga,
Castellum AB,Gothenburg;Göteborg;Gotemburgo;Gotenburg,
Saab Automobile AB,Trollhättan,
Elekta AB,Stockholm;Stokholma;Stoccolma,
Fabege AB,Solna,
Modern Times Group MTG AB,Stockholm;Stokholma;Stoccolma,
AarhusKarlshamn Sweden AB,Malmö;Malmò,
Axfood AB,Stockholm;Stokholma;Stoccolma,
Lundin Mining,Toronto,
Lifco AB,Enköping,
NCC AB,Solna,
Getinge AB,Gothenburg;Göteborg;Gotemburgo;Gotenburg,
Hexpol AB,Malmö;Malmò,
Wallenstam AB,Gothenburg;Göteborg;Gotemburgo;Gotenburg,
EQT Partners AB,Stockholm;Stokholma;Stoccolma,
Pandox AB,Stockholm;Stokholma;Stoccolma,
Samhällsbyggnadsbolaget i Norden AB,Stockholm;Stokholma;Stoccolma,
Evolution Gaming Group AB,Stockholm;Stokholma;Stoccolma,
Bonava AB,Stockholm;Stokholma;Stoccolma,
BillerudKorsnäs AB,Solna,
Loomis AB,Stockholm;Stokholma;Stoccolma,
Dometic Group,Solna,
Peab AB,Förslöv,
Kindred Group,Stockholm;Stokholma;Stoccolma,
Beijer Ref AB,Malmö;Malmò,
Klövern AB,Stockholm;Stokholma;Stoccolma,
Atrium Ljungberg AB,Nacka,
Axel Johnson Gruppen AB,Stockholm;Stokholma;Stoccolma,
Ratos AB,Stockholm;Stokholma;Stoccolma,
Thule Group AB,Malmö;Malmò,
Paradox Interactive AB,Stockholm;Stokholma;Stoccolma,
Hemfosa Fastigheter AB,Nacka,
Vitrolife AB,Västra Frölunda,
Wihlborgs Fastigheter AB,Malmö;Malmò,
Embracer Group AB,Karlstad,
Veoneer,Stockholm;Stokholma;Stoccolma,
AFRY,Stockholm;Stokholma;Stoccolma,
Avanza,Stockholm;Stokholma;Stoccolma,
Spotify AB,Stockholm;Stokholma;Stoccolma,
LKAB,Luleå;Lūleo,
PostNord,Solna,
Saab AB,Stockholm;Stokholma;Stoccolma,
Stena Line AB,Gothenburg;Göteborg;Gotemburgo;Gotenburg,
Nordstjernan AB,Stockholm;Stokholma;Stoccolma,
Bonnier AB,Stockholm;Stokholma;Stoccolma,
Apoteket AB,Stockholm;Stokholma;Stoccolma,
Svenska Cellulosa AB,Stockholm;Stokholma;Stoccolma,
SAS Group,Solna,
AB Tetra Pak,Lund;Lunda,
Nynas AB,Stockholm;Stokholma;Stoccolma,
Klarna Holding AB,Stockholm;Stokholma;Stoccolma,
Attendo Sverige AB,Danderyd,
Resurs Holding AB,Helsingborg,
Nolato,Torekov,
Hembla AB,Stockholm;Stokholma;Stoccolma,
