name,born,died
Lale Gül,1997,na
Dimitri Verhulst,1972,na
Inte Onsman,1972,1929
Arnon Grünberg,1971,na
Hafid Bouazza,1970,2021
Frank Adam,1968,na
Jan Hammenecker,1968,na
Sevtap Baycılı,1968,na
Bartelomeus Frederik Maria Droog,1966,na
Anja Sicking,1965,na
Annet Schaap,1965,na
Erwin Mortier,1965,na
Marga Hoek,1965,na
Paul Verhaeghen,1965,na
Anne Provoost,1964,na
Joost Zwagerman,1963,2015
Peter Verhelst,1962,na
Simon de Waal,1962,na
Jan van Aken,1961,na
Aristide von Bienefeldt,1959,2016
Tom Lanoye,1958,na
Herman Brusselmans,1957,na
Patricia de Martelaere,1957,2009
Theo van Gogh,1957,2004
Arthur Japin,1956,na
Jotie T'Hooft,1956,1977
Marijn Backer,1956,na
Pauline van de Ven,1956,na
Connie Palmen,1955,na
Kristien Hemmerechts,1955,na
Kader Abdolah,1954,na
Leon de Winter,1954,na
Renate Dorrestein,1954,2018
Pieter Aspe,1953,2021
Eriek Verpale,1952,2015
Marion Bloem,1952,na
A.F.Th. van der Heijden,1951,na
Guido van Heulendonk,1951,na
Halil Gür,1951,na
Hermine de Graaf,1951,2013
Sadik Yemni,1951,na
Stefan Hertmans,1951,na
Joris Note,1949,na
Boudewijn Büch,1948,2002
Geert van Istendael,1947,na
Leonard Nolens,1947,na
Adriaan van Dis,1946,na
Rita Demeester,1946,1993
Robert Anker,1946,2017
Theo Lalleman,1946,2013
Leo Pleysier,1945,na
Monika van Paemel,1945,na
Nicolaas Matsier (Tjit Reinsma),1945,na
Gerrit Komrij,1944,2012
Havank,1944,na
Herman De Coninck,1944,1997
Johan van Doorn,1944,1991
Maarten 't Hart,1944,na
Tomas Ross,1944,na
Ischa Meijer,1943,1995
Maarten van Rossem,1943,na
Margriet Ehlen,1943,na
Olga Orman,1943,2021
Paul Claes,1943,na
Tim Krabbé,1943,na
Eddy Van Vliet,1942,na
Eric de Kuyper,1942,na
Siebren van der Werf,1942,na
Roger M.J. De Neef,1941,na
Walter van den Broeck,1941,na
Wim Hofman,1941,na
Jeroen Brouwers,1940,2022
Cornelis de Bie,1939,na
Freddy de Vree,1939,2004
Maarten Biesheuvel,1939,2020
Ivo Pauwels,1938,2023
Astère M. Dhondt,1937,na
Daniël Robberechts,1937,1992
J. Bernlef (Hendrik Jan Marsman),1937,2012
Richard Klinkhamer,1937,2016
Carli Biessels,1936,2016
Imme Dros,1936,na
Lucienne Stassaert,1936,na
Willem Wilmink,1936,2003
Hugo Brandt Corstius,1935,2014
Igor Cornelissen,1935,2021
Gerrit Krol,1934,2013
Willy Roggeman,1934,na
Cees Nooteboom,1933,na
Felix Thijssen,1933,2022
Paul Snoek,1933,1981
Rudi van Dantzig,1933,2012
Wim Gijsen,1933,1990
Carla Walschap,1932,na
Clem Schouwenaars,1932,1993
F. Springer,1932,2011
Henri Nouwen,1932,1996
Simon Heere Heeresma,1932,2011
Jan Cornelis Terlouw,1931,na
Janwillem van de Wetering,1931,2008
Bob den Uyl,1930,1992
Jef Geeraerts,1930,2015
Anne Frank,1929,1945
Fernand Auwera (Fernand Van der Auwera),1929,2015
Hugo Claus,1929,2008
Hugo Raes,1929,2013
Remco Campert,1929,2022
Renate Rubinstein,1929,1990
Rudy Kousbroek,1929,2010
Ward Ruyslinck (Raymond Charles Marie de Belser),1929,2014
Bob Mendes,1928,2021
Gaston Durnez,1928,2019
Paul De Wispelaere,1928,2016
Harry Mulisch,1927,2010
Piet J. Kroonenberg,1927,2016
Abraham Louis Schneiders,1925,2020
Jan Arends,1925,1974
Jan Wolkers,1925,2007
Jos Vandeloo,1925,2015
Paul Biegel,1925,2006
Roger van de Velde,1925,1970
Lucebert (L.J.Swaanswijk),1924,1994
A. C. Baantjer,1923,2010
Gerard Reve,1923,2006
Ivo Michiels,1923,2012
Thea Beckman,1923,2004
Hans Koning,1921,2007
Willem Frederik Hermans,1921,1995
Aster Berkhof (Lode Van Den Bergh),1920,2020
Hubert Lampo,1920,2006
Marga Minco (Sara Voeten-Minco),1920,2023
Bert Schierbeek,1918,1996
Dora van der Meiden-Coolsma,1918,2001
Hella Haasse,1918,2011
Georges Hebbelinck,1916,1964
Maria Rosseels,1916,2005
Leo Vroman,1915,2014
Willem van den Hout,1915,1985
Bertus Aafjes,1914,1993
Etty Hillesum,1914,1943
Jan de Hartog,1914,2002
Godfried Bomans,1913,1971
Simon Carmiggelt,1913,1987
Johan Daisne (Herman Thiery),1912,1978
Louis Paul Boon,1912,1979
Marten Toonder,1912,2005
Annie M. G. Schmidt,1911,1995
Robert van Gulik,1910,1967
Margaretha Drooglever Fortuyn-Leenmans,1909,1998
Hilda van Stockum,1908,2006
Theun de Vries,1907,2005
Gerrit Achterberg,1905,1962
Ida Gerhardt,1905,1997
Anne de Vries,1904,1964
Jan Campert,1902,1943
Menno ter Braak,1902,1940
Lode Zielens,1901,1944
Jan Eekhout,1900,1978
Maurice Gilliams,1900,1982
Edgar du Perron,1899,1940
Johan Fabricius,1899,1981
Marnix Gijsen,1899,1984
George Wilhelm Kettmann,1898,1970
Gerard Walschap,1898,1989
Jan Jacob Slauerhoff,1898,1936
Simon Vestdijk,1898,1971
Wies Moens,1898,1982
Antoon Coolen,1897,1961
Jacques de Kadt,1897,1988
Willy Corsari,1897,1998
Paul van Ostaijen,1896,1928
Martinus Nijhoff,1894,1953
Roger Avermaete,1893,1988
Filip De Pillecyn,1891,1962
Cissy van Marxveldt,1889,1948
Adriaan Roland Holst,1888,1976
Maria Dermoût,1888,1962
Jakobus Cornelis Bloem,1887,1966
Willem de Mérode,1887,1939
Felix Timmermans,1886,1947
Marianne Philips,1886,1951
Ernest Claes,1885,1968
Ferdinand Bordewijk,1884,1965
Jan van Nijlen,1884,1965
Stephanie Vetter,1884,1974
Henri van Wermeskerken,1882,1937
Nescio (J.H.F.Grönloh),1882,1961
Willem Elsschot (Alfons de Ridder),1882,1960
Herman Teirlinck,1879,1967
Karel van de Woestijne,1878,1929
Carel Steven Adama van Scheltema,1877,1924
Justine Constance Wirix-van Mansvelt,1876,1937
Arthur van Schendel,1874,1946
Jan Fabricius,1871,1964
Levie Jacob Fles (Dr. W. Bottema C.Az.),1871,1940
Stijn Streuvels,1871,1969
Marie van Zeggelen,1870,1957
Herman Gorter,1864,1927
Herman Heijermans,1864,1924
Lodewijk van Deyssel (K.J.L. Alberdingk Thijm),1864,1952
Louis Couperus,1863,1923
Frederik van Eeden,1860,1932
Cyriel Buysse,1859,1932
Willem Kloos,1859,1938
Arnold Aletrino,1858,1916
Albrecht Rodenbach,1856,1880
Jacobus van Looy,1855,1930
Paulus Adrianus Daum,1850,1898
Marcellus Emants,1848,1923
"Carel van Nievelt (Gabriël, J. van den Oude)",1843,1913
Virginie Loveling,1836,1923
Piet Paaltjens (François Haverschmidt),1835,1894
Emanuel Hiel,1834,1899
Jan ten Brink,1834,1901
Rosalie Loveling,1834,1875
Guido Gezelle,1830,1899
Conrad Busken Huet,1826,1886
Joseph Albert Alberdingk Thijm,1820,1889
Multatuli (Eduard Douwes Dekker),1820,1887
Hildebrand (Nicolaas Beets),1814,1903
Nicolaas Beets,1814,1903
Anna Louisa Geertruida Bosboom-Toussaint,1812,1886
Hendrik Conscience,1812,1883
Jacob van Lennep,1802,1868
Johannes Hendricus van der Palm,1763,1840
Arend Fokke Simonsz,1755,1812
Jacob Haafner,1754,1809
Aagje Deken,1741,1804
Isabelle de Charrière,1740,1805
Betje Wolff,1738,1804
Justus van Effen,1684,1735
Cornelis de Bie,1627,na
Constantijn Huygens,1596,1687
Joost van den Vondel,1587,1679
Gerbrand Adriaensz Bredero,1585,1618
Pieter Corneliszoon Hooft,1581,1647
Jacob Cats,1577,1660
Hendrik Laurenszoon Spiegel,1549,1612
Karel van Mander,1548,1606
Roemer Visscher,1547,1620
Philips van Marnix,1540,1598
Cornelis Columbanus Vrancx,1530,1615
Melis Stoke,1235,1305
Beatrijs van Nazareth,1200,1268
