name,born,died,sex,source
Thomas Abbt,1738,1766,m,https://en.wikipedia.org/wiki/List_of_German-language_authors
Johann Christoph Adelung,1732,1806,m,
Konrad Adenauer,1876,1967,m,
Rudolf Agricola,1494,1566,m,
Ilse Aichinger,1921,2016,f,
Hermann Allmers,1821,1902,m,
Peter Altenberg,1859,1919,m,
Jean Améry,1912,1978,m,
Alfred Andersch,1914,1980,m,
Lou Andreas-Salomé,1861,1937,f,
Stefan Andres,1906,1970,m,
Ernst Angel,1895,1986,m,
Angelus Silesius,1624,1677,m,
Ludwig Anzengruber,1839,1889,m,
Johann August Apel,1771,1816,m,
Ernst Moritz Arndt,1769,1860,m,
Achim von Arnim,1781,1831,m,
Bettina von Arnim,1785,1859,f,
Gottfried Arnold,1666,1714,m,
Jean Arp,1887,1966,m,
Hans Carl Artmann,1921,2000,m,
Raoul Auernheimer,1876,1948,m,
Rose Ausländer,1901,1988,f,
Ingeborg Bachmann,1926,1973,f,
Amalie Baisch,1859,1904,f,
Hugo Ball,1886,1927,m,
Zsuzsa Bánk,1965,na,f,
Ernst Barlach,1870,1938,m,
Janos Bardi,1923,1990,m,
Adolf Bartels,1862,1945,m,
Wilhelm Bauberger,1809,1883,m,
Johann Bernhard Basedow,1723,1790,m,
Vicki Baum,1888,1960,f,
Johannes R. Becher,1891,1958,m,
Jurek Becker,1937,1997,m,
Albrecht Behmel,1971,na,m,
Maria Beig,1920,2018,f,
Hans Bender,1907,1991,m,
Walter Benjamin,1892,1940,m,
Gottfried Benn,1886,1956,m,
Werner Bergengruen,1892,1964,m,
Thomas Bernhard,1931,1989,m,
August Ferdinand Bernhardi,1769,1820,m,
Peter Bichsel,1935,na,m,
Jakob Bidermann,1578,1639,m,
Wolf Biermann,1936,na,m,
Johannes Bobrowski,1917,1965,m,
Johann Jakob Bodmer,1698,1783,m,
Jakob Böhme,1575,1624,m,
Margarete Böhme,1867,1939,f,
Heinrich Böll,1917,1985,m,
Wolfgang Borchert,1921,1947,m,
Nicolai Borger,1974,na,m,
Nicolas Born,1937,1979,m,
Ludwig Börne,1786,1837,m,
Bas Böttcher,1974,na,m,
Adolf Brand,1874,1945,m,
Mark Brandis,1931,2000,m,
Willy Brandt,1913,1992,m,
Sebastian Brant,1457,1521,m,
Axel Brauns,1963,na,m,
Bertolt Brecht,1898,1956,m,
Willi Bredel,1901,1964,m,
Clemens Brentano,1778,1842,m,
Rolf Dieter Brinkmann,1940,1975,m,
Hermann Broch,1886,1951,m,
Barthold Heinrich Brockes,1680,1747,m,
Georg Büchner,1813,1837,m,
Hermann Burger,1942,1989,m,
Gottfried August Bürger,1747,1794,m,
Christine Busta,1915,1987,f,
Joachim Heinrich Campe,1746,1818,m,
