name,born,died,sex,source
Edward S. Aarons,1916,1975,m,https://de.wikipedia.org/wiki/Liste_englischsprachiger_Schriftsteller
Edward Abbey,1927,1989,m,
Megan Abbott,1971,na,f,
Walter Abish,1931,2022,m,
Peter Abrahams,1947,na,m,
André Aciman,1951,na,m,
Kathy Acker,1947,1997,f,
J. R. Ackerley,1896,1967,,
Forrest J. Ackerman,1916,2008,m,
Mercedes de Acosta,1893,1968,f,
Oscar Zeta Acosta,1935,1974,m,
Helen Adam,1909,1993,f,
Louis Adamic,1899,1951,m,
Alice Adams,1926,1999,f,
Henry Adams,1838,1918,m,
Léonie Adams,1899,1988,f,
Nene Adams,1966,2015,,
George Ade,1866,1944,m,
Renata Adler,1938,na,f,
Warren Adler,1927,2019,m,
James Agee,1909,1955,m,
Joel Agee,1940,na,,
Jonis Agee,1943,na,,
Conrad Aiken,1889,1973,m,
Edward Albee,1928,2016,m,
Becky Albertalli,1982,na,f,
Amos Bronson Alcott,1799,1888,,
Louisa May Alcott,1832,1888,f,
William Livingston Alden,1837,1908,m,
Thomas Bailey Aldrich,1836,1907,m,
Lloyd Alexander,1924,2007,m,
Sherman Alexie,1966,na,m,
Horatio Alger jr.,1832,1899,m,
Nelson Algren,1909,1981,m,
Candace Allen,1950,na,,
Ed Allen,1948,na,m,
Hervey Allen,1889,1949,m,
Paula Gunn Allen,1939,2008,f,
Dorothy Allison,1949,na,f,
Aaron Allston,1960,2014,m,
Washington Allston,1779,1843,m,
Rebecca Alpert,1950,na,f,
Hilton Als,1960,na,,
Lisa Alther,1944,na,f,
Joseph Alexander Altsheler,1862,1919,m,
Noel Alumit,1968,na,,
Julia Alvarez,1950,na,f,
A. R. Ammons,1926,2001,,
Benjamin Anastas,1969,na,m,
Rudolfo Anaya,1937,2020,m,
Charlie Jane Anders,1969,na,,
Maxwell Anderson,1888,1959,m,
Poul Anderson,1926,2001,,
Sherwood Anderson,1876,1941,m,
Bruce Andrews,1948,na,m,
V. C. Andrews,1923,1986,,
Maya Angelou,1928,2014,f,
Tina McElroy Ansa,1949,na,f,
A. Manette Ansay,1964,na,,
Nick Antosca,1983,na,m,
Donald Antrim,1958,na,m,
Gloria Anzaldúa,1942,2004,f,
Allen Appel,1945,na,m,
Benjamin Appel,1907,1977,m,
Max Apple,1941,na,m,
Harriette Arnow,1908,1986,f,
Elizabeth Arthur,1953,na,f,
Timothy Shay Arthur,1809,1885,m,
Newton Arvin,1900,1963,,
Schalom Asch,1880,1957,,
John Ashbery,1927,2017,m,
Jay Asher,1975,na,,
Isaac Asimov,1920,1992,m,
Rilla Askew,1951,na,,
Robert Lynn Asprin,1946,2008,m,
Gertrude Atherton,1857,1948,f,
Nancy Atherton,1955,na,f,
William Attaway,1911,1986,m,
Amelia Atwater-Rhodes,1984,na,f,
Louis Auchincloss,1917,2010,m,
W. H. Auden,1907,1973,,
Jean M. Auel,1936,na,,
Shalom Auslander,1970,na,,
Paul Auster,1947,na,m,
Mary Hunter Austin,1868,1934,f,
Ellis Avery,1972,2019,,
Victoria Aveyard,1990,na,f,
Dorothy Baker,1907,1968,f,
Nicholson Baker,1957,na,m,
James Robert Baker,1946,1997,m,
Ray Stannard Baker,1870,1946,m,
David Baldacci,1960,na,m,
James Baldwin,1924,1987,m,
John Ball,1911,1988,m,
Toni Cade Bambara,1939,1995,,
John Kendrick Bangs,1862,1922,m,
Russell Banks,1940,2023,m,
Amiri Baraka,1934,2014,,
James Nelson Barker,1784,1858,m,
Joel Barlow,1754,1812,,
Djuna Barnes,1892,1982,,
Allen Barnett,1955,1991,m,
Lisa A. Barnett,1958,2006,f,
Len Barot,1950,na,,
Nevada Barr,1952,na,,
Thomas A. Barron,1952,na,m,
Philip Barry,1896,1949,m,
John Barth,1930,na,m,
Donald Barthelme,1931,1989,m,
Frederick Barthelme,1943,na,m,
William Barton,1950,na,m,
Jacques Barzun,1907,2012,m,
Hamilton Basso,1904,1964,m,
Katharine Lee Bates,1859,1929,f,
Marion Dane Bauer,1938,na,f,
Lyman Frank Baum,1856,1919,,
Bruce Bawer,1956,na,m,
George Baxt,1923,2003,m,
William Bayer,1939,na,m,
Edward L. Beach,1918,2002,m,
Peter S. Beagle,1939,na,m,
Greg Bear,1951,2022,m,
Ann Beattie,1947,na,f,
Alison Bechdel,1960,na,f,
Harriet Beecher Stowe,1811,1896,f,
Louis Begley,1933,na,m,
Samuel Nathaniel Behrman,1893,1973,m,
David Belasco,1853,1931,m,
Julie Bell,1958,na,f,
Edward Bellamy,1850,1898,m,
Saul Bellow,1915,2005,m,
Peter Benchley,1940,2006,m,
Stephen Vincent Benét,1898,1943,m,
William Rose Benét,1886,1950,m,
Chloe Benjamin,1988,na,f,
John Berendt,1939,na,m,
Elizabeth Beresford,1868,1944,f,
Thomas Berger,1924,2014,m,
S. Bear Bergman,1974,na,,
Charles Bernstein,1950,na,m,
Ted Berrigan,1934,1983,m,
John Berryman,1914,1972,m,
Allan Bérubé,1946,2007,m,
Betty Berzon,1928,2006,f,
Frank Bidart,1939,na,m,
Ambrose Bierce,1842,1914,m,
Lloyd Biggle jr.,1923,2002,m,
Robert Montgomery Bird,1806,1854,m,
Norman Birnbaum,1926,2019,m,
Elizabeth Bishop,1911,1979,f,
John Peale Bishop,1892,1944,m,
Michael Bishop,1945,na,m,
Michael Blake,1945,2015,m,
William Peter Blatty,1928,2017,m,
Eric Blau,1921,2009,m,
Lucy Jane Bledsoe,1957,na,f,
Francesca Lia Block,1962,na,f,
Benjamin Paul Blood,1832,1919,m,
Michael Blumlein,1948,2019,m,
Robert Bly,1926,2021,m,
Louise Bogan,1897,1970,f,
Grace Lee Boggs,1915,2015,,
Guy Bolton,1884,1979,m,
Nelson Slade Bond,1908,2006,m,
Arna Bontemps,1902,1973,,
Barrie Jean Borich,1959,na,,
Malcolm J. Bosse,1926,2002,m,
John Boswell,1947,1994,m,
Dion Boucicault,1820,1890,m,
Ben Bova,1932,2020,m,
James Bovard,1956,na,m,
Richard Bowes,1944,na,m,
Jane Bowles,1917,1973,f,
Paul Bowles,1910,1999,m,
Hjalmar Hjorth Boyesen,1848,1895,,
Keith Boykin,1965,na,m,
Kay Boyle,1902,1992,,
T. C. Boyle,1948,na,,
Hugh Henry Brackenridge,1748,1816,m,
Leigh Brackett,1915,1978,m,
Ray Bradbury,1920,2012,m,
Scott Bradfield,1955,na,m,
Arthur Bradford,1969,na,m,
William Bradford,1590,1657,m,
Marion Zimmer Bradley,1930,1999,f,
Anne Bradstreet,1612,1672,f,
Christopher Bram,1952,na,m,
Rebecca Brandewyne,1955,na,f,
Giannina Braschi,1953,na,,
Richard Brautigan,1935,1984,m,
Stefan Brecht,1924,2009,m,
Maeve Brennan,1917,1993,,
Lily Brett,1946,na,f,
Patricia Briggs,1965,na,f,
Gwen Bristow,1903,1980,f,
Poppy Z. Brite,1967,na,f,
Andrew Britton,1981,2008,m,
Harold Brodkey,1930,1996,m,
Gerald Brom,1965,na,m,
Louis Bromfield,1896,1956,m,
E. M. Broner,1927,2011,,
William Bronk,1918,1999,m,
Michael Bronski,1949,na,m,
Gwendolyn Brooks,1917,2000,f,
T. Alan Broughton,1936,2013,,
Charles Brockden Brown,1771,1810,m,
Dan Brown,1964,na,m,
Frank London Brown,1927,1962,m,
Fredric Brown,1906,1972,m,
Harry Brown,1917,1986,m,
Jericho Brown,1976,na,m,
Larry Brown,1951,2004,m,
Rita Mae Brown,1944,na,f,
William Hill Brown,1765,1793,m,
William Wells Brown,1814,1884,m,
Charles Farrar Browne,1834,1867,m,
John Ross Browne,1817,1875,m,
Sylvia Brownrigg,1964,na,f,
C. D. B. Bryan,1936,2009,,
William Cullen Bryant,1794,1878,m,
Bill Bryson,1951,na,m,
Pearl S. Buck,1892,1973,,
Algis Budrys,1931,2008,,
Vincent Bugliosi,1934,2015,m,
Charles Bukowski,1920,1994,m,
Vern Leroy Bullough,1928,2006,,
Nick Burd,1980,na,m,
Ben Lucien Burman,1895,1984,m,
John Horne Burns,1916,1953,m,
Augusten Burroughs,1965,na,m,
Edgar Rice Burroughs,1875,1950,m,
John Burroughs,1837,1921,m,
William S. Burroughs,1914,1997,m,
Charles Busch,1954,na,m,
Frederick Busch,1941,2006,m,
Candace Bushnell,1958,na,,
Judith Butler,1956,na,f,
Octavia E. Butler,1947,2006,f,
Witter Bynner,1881,1968,m,
Rob Byrnes,1958,na,m,
James Branch Cabell,1879,1958,m,
George Washington Cable,1844,1925,m,
Chelsea Cain,1972,na,,
James M. Cain,1892,1977,m,
Rachel Caine,1962,2020,f,
Alice Calaprice,1941,na,f,
Erskine Caldwell,1903,1987,,
Taylor Caldwell,1900,1985,,
Patrick Califia,1954,na,m,
Andrew Calimach,1953,na,m,
Hortense Calisher,1911,2009,,
Peter Cameron,1959,na,m,
Paul-Henri Campbell,1982,na,m,
Truman Capote,1924,1984,,
Emile Capouya,1925,2005,,
Tom Cardamone,1969,na,m,
Dale Carnegie,1888,1955,,
John Dickson Carr,1906,1977,,
Mary Jane Carr,1895,1988,,
Jim Carroll,1949,2009,m,
Jonathan Carroll,1949,na,m,
David Carter,1952,2020,m,
Forrest Carter,1925,1979,m,
Stephen L. Carter,1954,na,m,
Jeffrey A. Carver,1949,na,m,
Raymond Carver,1938,1988,m,
Carlos Castaneda,1925,1998,m,
Ana Castillo,1953,na,f,
Linda Castillo,1960,na,f,
Willa Cather,1873,1947,,
Bruce Catton,1899,1978,m,
Michael Chabon,1963,na,m,
Raymond Chandler,1888,1959,m,
Iris Chang,1968,2004,f,
Louis Charbonneau,1924,2017,m,
Jerome Charyn,1937,na,m,
Mary Ellen Chase,1887,1973,f,
George Chauncey,1954,na,m,
Paddy Chayefsky,1923,1981,,
Stephen Chbosky,1970,na,m,
John Cheever,1912,1982,m,
Phyllis Chesler,1940,na,m,
Charles W. Chesnutt,1858,1932,m,
Tracy Chevalier,1962,na,f,
Ted Chiang,1967,na,m,
Lincoln Child,1957,na,m,
Lydia Maria Child,1802,1880,f,
Frank Chin,1940,na,m,
Susan Choi,1969,na,f,
Kate Chopin,1850,1904,f,
Winston Churchill,1871,1947,m,
John Ciardi,1916,1986,m,
Jill Ciment,1953,na,,
Amy Clampitt,1920,1994,f,
Tom Clancy,1947,2013,m,
Mary Higgins Clark,1927,2020,f,
Walter van Tilburg Clark,1909,1971,m,
Connie Clausen,1923,1997,,
Beverly Cleary,1916,2021,,
Eldridge Cleaver,1935,1998,,
Lucille Clifton,1936,2010,,
Mark Clifton,1906,1963,m,
Irvin S. Cobb,1876,1944,,
Harlan Coben,1962,na,,
Joshua Cohen,1980,na,m,
Abner Weyman Colgate,1838,1904,,
Richard Oliver Collin,1940,na,m,
Billy Collins,1941,na,m,
Jackie Collins,1937,2015,,
Larry Collins,1929,2005,m,
Suzanne Collins,1962,na,f,
Katharine Coman,1857,1915,f,
Michael Connelly,1956,na,m,
Pat Conroy,1945,2016,,
Blanche Wiesen Cook,1941,na,,
Bruce Alexander Cook,1932,2003,,
Glen Cook,1944,na,,
Robin Cook,1940,na,,
John Esten Cooke,1830,1886,,
Stephen Coonts,1946,na,,
Anna J. Cooper,1858,1964,,
Dennis Cooper,1953,na,,
James Fenimore Cooper,1789,1851,,
Robert Coover,1932,na,,
Alfred Coppel,1921,2004,,
Tee Corinne,1943,2006,,
Patricia Cornwell,1956,na,,
Gregory Corso,1930,2001,,
Jayne Cortez,1934,2012,,
John Cotton,1585,1652,,
Catherine Coulter,1942,na,,
Elise Cowen,1933,1962,,
Malcolm Cowley,1898,1989,,
James Gould Cozzens,1903,1978,,
Hart Crane,1899,1932,,
Stephen Crane,1871,1900,,
Francis Marion Crawford,1854,1909,,
Robert Creeley,1926,2005,,
Jean de Crèvecoeur,1735,1813,,
Harry Crews,1935,2012,,
Michael Crichton,1942,2008,,
Ann C. Crispin,1950,2013,,
Deborah Crombie,1952,na,,
Justin Cronin,1962,na,,
Ellen Crosby,1953,na,,
Harry Crosby,1898,1929,,
Mart Crowley,1935,2020,,
Countee Cullen,1903,1946,,
Edward Estlin Cummings,1894,1962,,
Michael Cunningham,1952,na,,
George William Curtis,1824,1892,,
Jamie Lee Curtis,1958,na,,
James Oliver Curwood,1878,1927,,
Clive Cussler,1931,2020,,
Janet Dailey,1944,2013,,
Richard Henry Dana Jr.,1815,1882,,
Mark Z. Danielewski,1966,na,,
James Dashner,1972,na,,
Guy Davenport,1927,2005,,
Diane Mott Davidson,1949,na,,
Donald Davidson,1893,1968,,
Dorothy Salisbury Davis,1916,2014,,
Lydia Davis,1947,na,,
