country-en,country-de,country-sv,country-lv,capital-en,capital-de,capital-sv,capital-lv,country-vi,capital-vi,country-orig,capital-alternatives
Afghanistan,Afghanistan,Afghanistan,Afganistāna,Kabul,Kabul,Kabul,Kabula,Afghanistan,Kabul,Afghanestan,Kabul
Albania,Albanien,Albanien,Albānija,Tirana,Tirana,Tirana,Tirāna,Albania,Tirana,Shqiperia,Tirana
Algeria,Algerien,Algeriet,Alžīrija,Algiers,Algiers;Algier,Alger,Alžīra,Algérie,Algiers,Al Jaza'ir,Dzayer;Al-Jazā'ir;Algiers
Andorra,Andorra,Andorra,Andora,Andorra la Vella,Andorra la Vella,Andorra la Vella,Andora la Velja,Andorra,Andorra la Vealla,Andorra,Andorra la Vella
Angola,Angola,Angola,Angola,Luanda,Luanda,Luanda,Luanda,Angola,Luanda,Angola,Luanda;Lwanda
Antigua and Barbuda,Antigua und Barbuda,Antigua och Barbuda,Antigva un Barbuda,Saint John's;St. John's,Saint John's;St. John's,Saint John's;St. John's,Sentdžonsa,Antigua và Barbuda,St. John's,Antigua and Barbuda,St. John's;Saint John's
Argentina,Argentinien,Argentina,Argentīna,Buenos Aires,Buenos Aires,Buenos Aires,Buenosairesa,Argentina,Buenos Aires,Argentina,Buenos Aires
Armenia,Armenien,Armenien,Armēnija,Yerevan,Jerevan;Jerewan,Jerevan,Erevāna,Armenia,Yerevan,Hayastan,Yerevan;Eriwan;Erivan
Australia,Australien,Australien,Austrālija,Canberra,Canberra,Canberra,Kanbera,Úc,Canberra,Australia,Canberra
Austria,Österreich,Österrike,Austrija,Vienna,Wien,Wien,Vīne,Áo,Viên,Österreich,Wien
Azerbaijan,Aserbaidschan,Azerbajdzjan,Azerbaidžāna,Baku,Baku,Baku,Baku,Azerbaijan,Baku,Azarbaycan,Bakı
Bahamas,Bahamas,Bahamas,Bahamu Salas,Nassau,Nassau,Nassau,Naso,Bahamas,Nassau,Bahamas,Nassau
Bahrain,Bahrain,Bahrain,Bahreina,Manama,Manama,Manama,Manāma,Bahrain,Manama,Al Bahrayn,Al-Manāmah;Al-Manamah;Manama
Bangladesh,Bangladesch,Bangladesh,Bangladeša,Dhaka,Dhaka,Dhaka,Daka,Bangladesh,Dhaka,Bangladesh,Dhākā;Dhaka
Barbados,Barbados,Barbados,Barbadosa,Bridgetown,Bridgetown,Bridgetown,Bridžtauna,Barbados,Bridgetown,Barbados,Bridgetown
Belarus,Weißrussland,Vitryssland,Baltkrievija,Minsk,Minsk,Minsk,Minska,Belarus,Minsk,Byelarus,Minsk
Belgium,Belgien,Belgien,Beļģija,Brussels,Brüssel,Bryssel,Brisele,Bỉ,Brussels,"Belgique, Belgie",Brussel;Bruxelles;Brüssel
Belize,Belize,Belize,Beliza,Belmopan,Belmopan,Belmopan,Belmopana,Belize,Belmopan,Belize,Belmopan
Benin,Benin,Benin,Benina,Porto-Novo,Porto-Novo,Porto-Novo,Portonovo,Bénin,Porto-Novo,Benin,Porto-Novo
Bhutan,Bhutan,Bhutan,Butāna,Thimphu,Thimphu,Thimphu,Thimphu,Bhutan,Thimphu,Bhutan,Thimphu
Bolivia,Bolivien,Bolivia,Bolīvija,Sucre;La Paz,Sucre;La Paz,Sucre;La Paz,Sukre;Lapasa,Bolivia,Sucre;La Paz,Bolivia,Chuqiyapu;La Paz;Sucre
Bosnia and Herzegovina,Bosnien und Herzegowina,Bosnien och Hercegovina,Bosnija un Hercegovina,Sarajevo,Sarajevo,Sarajevo,Sarajeva,Bosna và Hercegovina,Sarajevo,Bosna i Hercegovina,Sarajevo
Botswana,Botsuana,Botswana,Botsvāna,Gaborone,Gaborone,Gaborone,Gaborone,Botswana,Gaborone,Botswana,Gaborone
